Gender,Stroke,PrelimsTime,FinalsTime,Lane
F,Breast,76.53,73.88,Inside
F,Breast,169.9,169.21,Outside
M,Breast,62.51,60.54,Inside
M,Breast,63.41,61.11,Inside
M,Breast,69.13,68.85,Outside
M,Breast,69.83,69.58,Outside
M,Breast,71.36,70.61,Inside
M,Breast,73.25,73.39,Inside
M,Breast,84.85,80.78,Outside
M,Breast,83.83,83.57,Outside
F,Back,65.59,57.76,Inside
F,Back,66.37,63.15,Inside
F,Back,83.48,81.48,Outside
F,Back,83.53,86.28999999999999,Outside
F,Back,84.48,88.05,Inside
F,Back,94.72999999999999,96.27000000000001,Inside
M,Back,55.91,53.53,Inside
M,Back,57.27,56.87,Inside
M,Back,60.47,60.83,Outside
M,Back,61.35,61.05,Outside
M,Back,63.27,62.73,Inside
M,Back,79.72,75.37,Outside
M,Back,93.74000000000001,93.7,Outside
F,Free,52.18,52.55,Inside
F,Free,54.42,54.35,Inside
F,Free,59.06,58.85,Outside
F,Free,60.44,62.01,Outside
F,Free,62.81,61.43,Inside
F,Free,63.71,62.03,Inside
F,Free,89.01,88.99,Outside
F,Free,91.8,94.45,Outside
M,Free,48.16,46.86,Inside
M,Free,48.05,49.12,Inside
M,Free,50.62,49.81,Outside
M,Free,50.53,50.5,Outside
M,Free,51.07,50.64,Inside
M,Free,51.07,51.01,Inside
M,Free,55.74,55.98,Outside
M,Free,55.53,56.63,Outside
F,Fly,58.3,56.51,Inside
F,Fly,59.79,58.34,Outside
F,Fly,58.64,58.44,Inside
F,Fly,59.65,59.2,Outside
F,Fly,60.02,59.13,Inside
F,Fly,60.37,60.12,Inside
F,Fly,62.01,60.94,Outside
F,Fly,62.02,61.87,Outside
M,Fly,47.98,46.49,Inside
M,Fly,49.43,49.03,Inside
M,Fly,51.02,50.12,Outside
M,Fly,51.75,50.66,Outside
M,Fly,51.77,51.68,Inside
M,Fly,51.87,51.76,Inside
M,Fly,52.46,52.0,Outside
M,Fly,52.49,52.71,Outside
F,Breast,64.55,64.19,Inside
F,Breast,64.49,65.35,Inside
